Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0551500950716461,0.000382701697254628,0.0831948322975438,0,0,0,61.4377623129161,6.71962689194729,0.000124037120014998,0.565316875594413,21.0066300839919,-0.0142889305150954,21.1870326919062,0,0,0,0,0,0,package://historia/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://historia/meshes/base_link.STL,,Base_link-1,Coordinate base System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_wheel_link,-1.55431223447522E-15,0.0850000000000004,2.44249065417534E-15,0,0,0,27.5043397926287,0.430660554325853,3.24890777589256E-18,-7.23882738820399E-18,0.738191606146009,-7.12844232875935E-20,0.430660554325854,0,0,0,0,0,0,package://historia/meshes/front_right_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://historia/meshes/front_right_wheel_link.STL,,Frontwheel-1,frontright,frontAxe,front_right_wheel_joint,continuous,1.0431,-0.50032,0.061,0,0,0,base_link,0,1,0,1000,1000,,,,,,,,,,
front_left_wheel_link,0,-0.085,-2.22044604925031E-16,0,0,0,27.5043397926287,0.430660554325854,-4.4685491471646E-18,-1.44592935726242E-18,0.738191606146009,-2.07712992781933E-19,0.430660554325854,0,0,0,0,0,0,package://historia/meshes/front_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://historia/meshes/front_left_wheel_link.STL,,Frontwheel-2,frontLeft,frontAxe,front_left_wheel_joint,continuous,1.0431,0.49993,0.061,0,0,0,base_link,0,1,0,1000,1000,,,,,,,,,,
rear_left_wheel_link,0,-0.12,0,0,0,0,48.0045170814902,1.00365544511807,1.23599047663348E-17,-1.73549109958526E-18,1.59552843699028,-1.96511643762987E-19,1.00365544511807,0,0,0,0,0,0,package://historia/meshes/rear_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://historia/meshes/rear_left_wheel_link.STL,,RearWheel-1,rearLeft,backAxe,rear_left_wheel_joint,continuous,-1.0569,0.5001,0.091,0,0,0,base_link,0,1,0,1000,1000,,,,,,,,,,
rear_right_wheel_link,0,0.12,0,0,0,0,48.0045170814902,1.00365544511807,-7.15573433840433E-18,8.89702231972231E-19,1.59552843699028,1.78893358460108E-18,1.00365544511807,0,0,0,0,0,0,package://historia/meshes/rear_right_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://historia/meshes/rear_right_wheel_link.STL,,RearWheel-2,rearRight,backAxe,rear_right_wheel_joint,continuous,-1.0569,-0.50021,0.091,0,0,0,base_link,0,1,0,1000,1000,,,,,,,,,,
steering_link,-0.00192787741428546,-9.15584132235026E-05,-0.00127138531000748,0,0,0,0.321979809173625,0.00472741497670012,-2.84977472595014E-08,6.23081654585944E-06,0.00193247893753922,3.00788024626372E-08,0.00286081799080933,0,0,0,0,0,0,package://historia/meshes/steering_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://historia/meshes/steering_link.STL,,Sparco Steering Wheel-1,new_wheel,new_wheelAxis,steering_joint,continuous,0.28269,-0.00024936,0.44194,0,0,0,base_link,1,0,0,5,0,,,,,,,,,,
front_camera_link,-0.0155625082465085,0.00050655910960673,-0.00990954357108276,0,0,0,0.0407155157147949,3.40770206840209E-05,3.91387011667428E-08,-3.21803357293848E-07,1.00514941710594E-05,5.47911103810995E-09,2.65392817842737E-05,0,0,0,0,0,0,package://historia/meshes/front_camera_link.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://historia/meshes/front_camera_link.STL,,oak_d.stp-1,"front_camera_coordinate ",Axis_front_camera_joint,front_camera_joint,fixed,0.0788087029649029,-0.00182333284482761,1.17208753367838,0,0.139626340159547,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,-0.00750000000000017,4.44089209850063E-16,-1.33226762955019E-15,0,0,0,0.00150000000000002,2.50000000000007E-08,4.7106988573904E-25,1.81979734761666E-22,4.06250000000015E-08,1.14941058494395E-25,4.06250000000001E-08,0,0,0,0,0,0,package://historia/meshes/imu_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://historia/meshes/imu_link.STL,,IMU-1,"imu_coordinate ",Axis_imu_joint,imu_joint,fixed,0.0765454134872336,-0.00116014639309014,1.13334716693108,0,0.34906585039886,0,base_link,0,0,0,,,,,,,,,,,,
front_middle_ultra_link,0.00417658489127204,-4.20166807835187E-06,5.26817094703702E-05,0,0,0,0.00622730507584716,1.22042836599959E-06,-1.31889106466305E-10,-2.02367223899355E-09,2.38520894806705E-07,1.99657489756067E-10,1.19413839438469E-06,0,0,0,0,0,0,package://historia/meshes/front_middle_ultra_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://historia/meshes/front_middle_ultra_link.STL,,Ultrasonic range finder sensor-8,"front_middle_ultra_coordinate ",Axis_front_middle_ultra_joint,front_middle_ultra_joint,fixed,1.24873870035793,-1.14830916579933E-05,0.0461914067318923,0,0.0349065850398906,0,base_link,0,0,0,,,,,,,,,,,,
front_left_ultra_link,0.00417658489127137,-4.20166807790778E-06,5.26817094701482E-05,0,0,0,0.00622730507584701,1.22042836599956E-06,-1.31889106460473E-10,-2.02367223899537E-09,2.38520894806702E-07,1.99657489756863E-10,1.19413839438465E-06,0,0,0,0,0,0,package://historia/meshes/front_left_ultra_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://historia/meshes/front_left_ultra_link.STL,,Ultrasonic range finder sensor-6,"front_left_ultra_coordinate ",Axis_front_left_ultra_joint,front_left_ultra_joint,fixed,1.24734603654632,0.170314104990994,0.0463262819667203,0.0879361240237073,0.150956408635872,0.530252933124556,base_link,0,0,0,,,,,,,,,,,,
